LAMMPS (23 Jun 2022 - Update 4)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 4.04525 4.04525 4.04525
Created orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  1 by 1 by 2 MPI processor grid
Created 32 atoms
  using lattice units in orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  create_atoms CPU = 0.000 seconds
Reading eam/alloy potential file ./Al_mm.eam.fs with DATE: 2007-06-11
Running simulation at Pressure: 0 Pa
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8.5
  ghost atom cutoff = 8.5
  binsize = 4.25, bins = 2 2 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.221 | 3.221 | 3.221 Mbytes
   Step          Temp          Press          Volume         PotEng         KinEng         TotEng    
     25600   304.15891      12647.545      529.80975     -108.27594      1.2187844     -107.05716    
     25700   293.029       -17359.848      550.36922     -108.06567      1.1741861     -106.89148    
     25800   311.15699      17311.049      530.42694     -107.87954      1.2468261     -106.63271    
     25900   277.14045     -13200.68       551.55703     -107.63166      1.1105196     -106.52114    
     26000   307.30559      18943.783      529.70617     -107.76403      1.2313933     -106.53263    
     26100   247.79921     -18182.389      550.90446     -107.99814      0.9929474     -107.00519    
     26200   272.56945      19370.24       526.27629     -108.19242      1.0922033     -107.10022    
     26300   267.36572     -19917.805      552.50211     -107.98301      1.0713517     -106.91166    
     26400   359.46504      17891.023      528.60114     -108.06056      1.4403996     -106.62016    
     26500   295.16737     -17006.769      552.91025     -107.7665       1.1827547     -106.58374    
     26600   291.07286      21004.438      528.19821     -107.73977      1.1663477     -106.57342    
     26700   214.6521      -16757.748      552.08606     -107.68398      0.8601248     -106.82385    
     26800   279.70124      17958.933      526.71925     -108.25827      1.1207809     -107.13749    
     26900   255.34221     -17745.217      550.254       -108.15535      1.0231727     -107.13218    
     27000   339.25437      15550.473      529.55362     -108.11617      1.3594142     -106.75676    
     27100   255.30386     -13907.87       550.6126      -107.69593      1.023019      -106.67292    
     27200   312.64167      16066.175      530.78277     -107.84902      1.2527753     -106.59625    
     27300   298.7242      -14328.495      549.77647     -107.82908      1.1970071     -106.63207    
     27400   281.03808      14492.531      531.11656     -107.93275      1.1261377     -106.80662    
     27500   259.97428     -13221.672      547.55614     -108.10465      1.0417337     -107.06291    
     27600   289.3009       11644.339      530.9934      -108.22812      1.1592474     -107.06887    
     27700   322.19516     -11193.492      547.75504     -107.92414      1.2910568     -106.63308    
     27800   345.74932      9281.0733      535.64262     -107.81699      1.3854398     -106.43155    
     27900   292.24        -8805.656       547.26369     -107.77832      1.1710245     -106.6073     
     28000   308.64222      7537.9399      534.44986     -108.07179      1.2367493     -106.83504    
     28100   262.85496     -7432.9985      543.99287     -108.11571      1.0532768     -107.06243    
     28200   259.8391       8234.5627      533.44392     -108.17956      1.041192      -107.13837    
     28300   263.9606      -6609.2021      544.26387     -107.95486      1.0577071     -106.89715    
     28400   352.57251      5217.5024      537.19208     -107.94812      1.4127808     -106.53534    
     28500   287.3309      -5394.0788      545.86552     -107.62822      1.1513534     -106.47687    
     28600   333.17887      5520.7426      536.66469     -107.98231      1.3350692     -106.64724    
     28700   254.4768      -5983.7372      543.49111     -108.03434      1.0197049     -107.01463    
     28800   251.9056       7209.8069      534.62488     -108.07773      1.009402      -107.06833    
     28900   271.68147     -7053.6161      544.34262     -108.00711      1.0886452     -106.91847    
     29000   301.56762      5573.2711      536.36966     -107.99752      1.2084009     -106.78912    
     29100   322.73283     -7054.3404      544.54988     -108.00382      1.2932112     -106.71061    
     29200   280.82199      8093.2361      536.36561     -107.77711      1.1252718     -106.65183    
     29300   311.03925     -5573.8327      544.74075     -107.85208      1.2463543     -106.60573    
     29400   351.75157      3366.2419      537.69113     -108.08037      1.4094912     -106.67088    
     29500   294.32637     -6120.5918      543.59931     -108.05833      1.1793847     -106.87895    
     29600   255.87964      5602.5199      535.94356     -108.02677      1.0253262     -107.00144    
